"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.16.2.2","172.16.3.2","MPTCP","86","64173  >  22 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 SACK_PERM TSval=2042503265 TSecr=0"
"2","0.019127","172.16.3.2","172.16.2.2","MPTCP","90","22  >  64173 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=64 TSval=3456884 TSecr=2042503265"
"3","0.019181","172.16.2.2","172.16.3.2","MPTCP","90","64173  >  22 [ACK] Seq=1 Ack=1 Win=65728 Len=0 TSval=2042503285 TSecr=3456884"
"4","0.038595","172.16.3.2","172.16.2.2","TCP","66","[TCP Window Update] 22  >  64173 [ACK] Seq=1 Ack=1 Win=65728 Len=0 TSval=3456903 TSecr=2042503285"
"5","0.038611","172.16.3.2","172.16.2.2","SSH","566","Server: Encrypted packet (len=484)"
"6","0.046411","172.16.3.2","172.16.2.2","MPTCP","74","22  >  64173 [ACK] Seq=485 Ack=1 Win=65728 Len=0 TSval=3456921 TSecr=2042503285"
"7","0.073303","172.16.2.2","172.16.3.2","TCP","66","64173  >  22 [ACK] Seq=1 Ack=485 Win=65728 Len=0 TSval=2042503344 TSecr=3456903"
"8","0.099290","172.16.3.2","172.16.2.2","SSH","126","Server: Encrypted packet (len=44)"
"9","0.118640","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 2#1] 22  >  64173 [ACK] Seq=529 Ack=1 Win=65728 Len=0 TSval=3456989 TSecr=2042503344"
"10","0.131721","172.16.2.2","172.16.3.2","TCP","66","64173  >  22 [ACK] Seq=1 Ack=529 Win=65728 Len=0 TSval=2042503402 TSecr=3456966"
"11","0.148679","172.16.3.2","172.16.2.2","SSH","542","Server: Encrypted packet (len=460)"
"12","0.156843","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 2#2] 22  >  64173 [ACK] Seq=989 Ack=1 Win=65728 Len=0 TSval=3457030 TSecr=2042503402"
"13","0.183919","172.16.2.2","172.16.3.2","TCP","66","64173  >  22 [ACK] Seq=1 Ack=989 Win=65728 Len=0 TSval=2042503455 TSecr=3457014"
"14","0.188892","172.16.3.2","172.16.2.2","SSH","854","Server: Encrypted packet (len=768)"
"15","0.223620","172.16.2.2","172.16.3.2","TCP","66","64173  >  22 [ACK] Seq=1 Ack=1757 Win=65728 Len=0 TSval=2042503494 TSecr=3457060"
"16","0.238624","172.16.3.2","172.16.2.2","SSH","154","Server: Encrypted packet (len=72)"
"17","0.240127","172.16.2.2","172.16.3.2","SSH","126","Client: Encrypted packet (len=44)"
"18","0.257830","172.16.3.2","172.16.2.2","TCP","66","22  >  64173 [ACK] Seq=1829 Ack=45 Win=65728 Len=0 TSval=3457124 TSecr=2042503503"
"19","0.257849","172.16.3.2","172.16.2.2","SSH","118","Server: Encrypted packet (len=36)"
"20","0.291749","172.16.2.2","172.16.3.2","TCP","66","64173  >  22 [ACK] Seq=45 Ack=1865 Win=65728 Len=0 TSval=2042503563 TSecr=3457124"
"21","0.308618","172.16.3.2","172.16.2.2","SSH","126","Server: Encrypted packet (len=44)"
"22","0.316726","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 18#1] 22  >  64173 [ACK] Seq=1909 Ack=45 Win=65728 Len=0 TSval=3457191 TSecr=2042503563"
"23","0.328009","172.16.2.2","172.16.3.2","SSH","1514","Client: Encrypted packet (len=1432)"
"24","0.328024","172.16.2.2","172.16.3.2","SSH","1514","Client: Encrypted packet (len=1432)"
"25","0.328038","172.16.2.2","172.16.3.2","SSH","1514","Client: Encrypted packet (len=1432)"
"26","0.328050","172.16.2.2","172.16.3.2","SSH","1514","Client: Encrypted packet (len=1432)"
"27","0.328161","172.16.2.2","172.16.3.2","SSH","1514","Client: Encrypted packet (len=1432)"
"28","0.328190","172.16.2.2","172.16.3.2","SSH","1150","Client: Encrypted packet (len=1068)"
"29","0.348838","172.16.3.2","172.16.2.2","TCP","66","22  >  64173 [ACK] Seq=1909 Ack=1477 Win=65728 Len=0 TSval=3457213 TSecr=2042503592"
"30","0.348858","172.16.3.2","172.16.2.2","TCP","66","22  >  64173 [ACK] Seq=1909 Ack=4341 Win=65728 Len=0 TSval=3457213 TSecr=2042503592"
"31","0.348866","172.16.3.2","172.16.2.2","TCP","66","22  >  64173 [ACK] Seq=1909 Ack=7205 Win=65728 Len=0 TSval=3457213 TSecr=2042503592"
"32","0.348872","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 31#1] 22  >  64173 [ACK] Seq=1909 Ack=7205 Win=65728 Len=0 TSval=3457213 TSecr=2042503592"
"33","0.356067","172.16.3.2","172.16.2.2","MPTCP","74","22  >  64173 [ACK] Seq=1909 Ack=8273 Win=65728 Len=0 TSval=3457224 TSecr=2042503592"
"34","0.378973","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 33#1] 22  >  64173 [ACK] Seq=1909 Ack=8273 Win=65728 Len=0 TSval=3457250 TSecr=2042503592"
"35","0.387112","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 33#2] 22  >  64173 [ACK] Seq=1909 Ack=8273 Win=65728 Len=0 TSval=3457261 TSecr=2042503592"
"36","0.398572","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 33#3] 22  >  64173 [ACK] Seq=1909 Ack=8273 Win=65728 Len=0 TSval=3457265 TSecr=2042503592"
"37","0.418615","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 33#4] 22  >  64173 [ACK] Seq=1909 Ack=8273 Win=65728 Len=0 TSval=3457290 TSecr=2042503592"
"38","0.438624","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 33#5] 22  >  64173 [ACK] Seq=1909 Ack=8273 Win=65728 Len=0 TSval=3457311 TSecr=2042503592"
"39","0.458128","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 33#6] 22  >  64173 [ACK] Seq=1909 Ack=8273 Win=65728 Len=0 TSval=3457325 TSecr=2042503592"
"40","0.478507","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 33#7] 22  >  64173 [ACK] Seq=1909 Ack=8273 Win=65728 Len=0 TSval=3457350 TSecr=2042503592"
"41","0.496718","172.16.2.2","172.16.3.2","SSH","1514","Client: Encrypted packet (len=1432)"
"42","0.496754","172.16.2.2","172.16.3.2","SSH","1514","Client: Encrypted packet (len=1432)"
"43","0.496768","172.16.2.2","172.16.3.2","SSH","1006","Client: Encrypted packet (len=924)"
"44","0.498746","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 33#8] 22  >  64173 [ACK] Seq=1909 Ack=8273 Win=65728 Len=0 TSval=3457365 TSecr=2042503592"
