"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.16.1.2","172.16.3.2","MPTCP","86","18641  >  22 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 SACK_PERM TSval=4060632602 TSecr=0"
"2","0.016170","172.16.3.2","172.16.1.2","MPTCP","86","22  >  18641 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=64 SACK_PERM TSval=1458448378 TSecr=4060632602"
"3","0.018631","172.16.1.2","172.16.3.2","MPTCP","86","18641  >  22 [ACK] Seq=1 Ack=1 Win=65728 Len=0 TSval=4060632624 TSecr=1458448378"
"4","0.019489","172.16.1.2","172.16.3.2","SSHv2","128","Client: Protocol (SSH-2.0-OpenSSH_8.8 FreeBSD-20211221)"
"5","0.065534","172.16.3.2","172.16.1.2","TCP","66","22  >  18641 [ACK] Seq=1 Ack=39 Win=65728 Len=0 TSval=1458448434 TSecr=4060632624"
"6","0.065556","172.16.3.2","172.16.1.2","SSHv2","124","Server: Protocol (SSH-2.0-OpenSSH_8.8 FreeBSD-20211221)"
"7","0.065877","172.16.1.2","172.16.3.2","MPTCP","74","18641  >  22 [ACK] Seq=39 Ack=39 Win=65728 Len=0 TSval=4060632674 TSecr=1458448434"
"8","0.066543","172.16.1.2","172.16.3.2","MPTCP","1514","18641  >  22 [ACK] Seq=39 Ack=39 Win=65728 Len=1432 TSval=4060632674 TSecr=1458448434 [TCP segment of a reassembled PDU]"
"9","0.066563","172.16.1.2","172.16.3.2","SSHv2","162","Client: Key Exchange Init"
"10","0.086215","172.16.3.2","172.16.1.2","SSHv2","1138","Server: Key Exchange Init"
"11","0.086286","172.16.3.2","172.16.1.2","TCP","66","22  >  18641 [ACK] Seq=1095 Ack=1551 Win=65728 Len=0 TSval=1458448443 TSecr=4060632674"
"12","0.090375","172.16.1.2","172.16.3.2","SSHv2","130","Client: Elliptic Curve Diffie-Hellman Key Exchange Init"
"13","0.106320","172.16.3.2","172.16.1.2","TCP","66","22  >  18641 [ACK] Seq=1095 Ack=1599 Win=65728 Len=0 TSval=1458448463 TSecr=4060632694"
"14","0.106338","172.16.3.2","172.16.1.2","SSHv2","566","Server: Elliptic Curve Diffie-Hellman Key Exchange Reply, New Keys"
"15","0.107059","172.16.1.2","172.16.3.2","MPTCP","74","18641  >  22 [ACK] Seq=1599 Ack=1579 Win=65728 Len=0 TSval=4060632714 TSecr=1458448471"
"16","0.110944","172.16.1.2","172.16.3.2","SSHv2","98","Client: New Keys"
"17","0.125457","172.16.3.2","172.16.1.2","MPTCP","74","22  >  18641 [ACK] Seq=1579 Ack=1615 Win=65728 Len=0 TSval=1458448487 TSecr=4060632714"
"18","0.125532","172.16.1.2","172.16.3.2","SSHv2","126","Client: "
"19","0.145634","172.16.3.2","172.16.1.2","SSHv2","126","Server: "
"20","0.145667","172.16.1.2","172.16.3.2","TCP","66","18641  >  22 [ACK] Seq=1659 Ack=1623 Win=65728 Len=0 TSval=4060632754 TSecr=1458448504"
"21","0.146380","172.16.1.2","172.16.3.2","MPTCP","74","[TCP Dup ACK 20#1] 18641  >  22 [ACK] Seq=1659 Ack=1623 Win=65728 Len=0 TSval=4060632754 TSecr=1458448504"
"22","0.146749","172.16.1.2","172.16.3.2","SSHv2","142","Client: "
"23","0.165349","172.16.3.2","172.16.1.2","MPTCP","74","22  >  18641 [ACK] Seq=1623 Ack=1719 Win=65728 Len=0 TSval=1458448528 TSecr=4060632754"
"24","0.172369","172.16.1.2","172.16.3.2","SSHv2","582","Client: "
"25","0.187399","172.16.3.2","172.16.1.2","MPTCP","74","22  >  18641 [ACK] Seq=1623 Ack=2219 Win=65728 Len=0 TSval=1458448545 TSecr=4060632774"
"26","0.216245","172.16.3.2","172.16.1.2","SSHv2","110","Server: "
"27","0.256562","172.16.1.2","172.16.3.2","TCP","66","18641  >  22 [ACK] Seq=2219 Ack=1651 Win=65728 Len=0 TSval=4060632865 TSecr=1458448572"
"28","0.276196","172.16.3.2","172.16.1.2","SSHv2","222","Server: "
"29","0.277111","172.16.1.2","172.16.3.2","MPTCP","74","18641  >  22 [ACK] Seq=2219 Ack=1791 Win=65728 Len=0 TSval=4060632884 TSecr=1458448638"
"30","0.296049","172.16.3.2","172.16.1.2","SSHv2","126","Server: "
"31","0.296731","172.16.1.2","172.16.3.2","MPTCP","74","18641  >  22 [ACK] Seq=2219 Ack=1835 Win=65728 Len=0 TSval=4060632904 TSecr=1458448658"
"32","0.297295","172.16.1.2","172.16.3.2","SSHv2","174","Client: "
"33","0.312638","172.16.1.2","172.16.3.2","MPTCP","74","[TCP Dup ACK 31#1] 18641  >  22 [ACK] Seq=2311 Ack=1835 Win=65728 Len=0 TSval=4060632920 TSecr=1458448658"
