"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","PcsCompu_94:6e:10","Broadcast","ARP","42","Who has 172.16.2.1? Tell 172.16.2.2"
"2","0.001526","PcsCompu_9b:1a:be","PcsCompu_94:6e:10","ARP","60","172.16.2.1 is at 08:00:27:9b:1a:be"
"3","0.001541","172.16.2.2","172.16.3.2","MPTCP","86","31340  >  22 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 SACK_PERM TSval=4094246833 TSecr=0"
"4","0.019685","172.16.3.2","172.16.2.2","MPTCP","90","22  >  31340 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=64 TSval=99683 TSecr=4094246833"
"5","0.019779","172.16.2.2","172.16.3.2","MPTCP","90","31340  >  22 [ACK] Seq=1 Ack=1 Win=65728 Len=0 TSval=4094246848 TSecr=99683"
"6","0.040277","172.16.3.2","172.16.2.2","TCP","66","[TCP Window Update] 22  >  31340 [ACK] Seq=1 Ack=1 Win=65728 Len=0 TSval=99701 TSecr=4094246848"
"7","0.072482","172.16.2.2","172.16.3.2","SSH","130","Client: Encrypted packet (len=48)"
"8","0.090907","172.16.3.2","172.16.2.2","SSH","566","Server: Encrypted packet (len=484)"
"9","0.091007","172.16.2.2","172.16.3.2","TCP","66","31340  >  22 [ACK] Seq=49 Ack=485 Win=65728 Len=0 TSval=4094246924 TSecr=99752"
"10","0.092175","172.16.2.2","172.16.3.2","MPTCP","74","[TCP Dup ACK 9#1] 31340  >  22 [ACK] Seq=49 Ack=485 Win=65728 Len=0 TSval=4094246924 TSecr=99752"
"11","0.096991","172.16.2.2","172.16.3.2","SSH","98","Client: Encrypted packet (len=16)"
"12","0.111354","172.16.3.2","172.16.2.2","MPTCP","74","22  >  31340 [ACK] Seq=485 Ack=65 Win=65728 Len=0 TSval=99772 TSecr=4094246924"
"13","0.111412","172.16.2.2","172.16.3.2","SSH","126","Client: Encrypted packet (len=44)"
"14","0.130642","172.16.3.2","172.16.2.2","SSH","126","Server: Encrypted packet (len=44)"
"15","0.130670","172.16.2.2","172.16.3.2","TCP","66","31340  >  22 [ACK] Seq=109 Ack=529 Win=65728 Len=0 TSval=4094246961 TSecr=99785"
"16","0.131604","172.16.2.2","172.16.3.2","MPTCP","74","[TCP Dup ACK 15#1] 31340  >  22 [ACK] Seq=109 Ack=529 Win=65728 Len=0 TSval=4094246964 TSecr=99785"
"17","0.132418","172.16.2.2","172.16.3.2","SSH","142","Client: Encrypted packet (len=60)"
"18","0.149923","172.16.2.2","172.16.3.2","MPTCP","74","[TCP Dup ACK 15#2] 31340  >  22 [ACK] Seq=169 Ack=529 Win=65728 Len=0 TSval=4094246976 TSecr=99785"
"19","0.150041","172.16.3.2","172.16.2.2","MPTCP","74","22  >  31340 [ACK] Seq=529 Ack=169 Win=65728 Len=0 TSval=99811 TSecr=4094246964"
"20","0.150891","172.16.2.2","172.16.3.2","SSH","582","Client: Encrypted packet (len=500)"
"21","0.170402","172.16.3.2","172.16.2.2","SSH","542","Server: Encrypted packet (len=460)"
"22","0.170429","172.16.2.2","172.16.3.2","TCP","66","31340  >  22 [ACK] Seq=669 Ack=989 Win=65728 Len=0 TSval=4094246995 TSecr=99833"
"23","0.171348","172.16.2.2","172.16.3.2","MPTCP","74","[TCP Dup ACK 22#1] 31340  >  22 [ACK] Seq=669 Ack=989 Win=65728 Len=0 TSval=4094247004 TSecr=99833"
"24","0.176251","172.16.2.2","172.16.3.2","SSH","990","Client: Encrypted packet (len=908)"
"25","0.189975","172.16.3.2","172.16.2.2","MPTCP","74","22  >  31340 [ACK] Seq=989 Ack=1577 Win=65728 Len=0 TSval=99849 TSecr=4094247004"
"26","0.191254","172.16.3.2","172.16.2.2","SSH","850","Server: Encrypted packet (len=768)"
"27","0.201683","172.16.2.2","172.16.3.2","MPTCP","74","31340  >  22 [ACK] Seq=1577 Ack=1757 Win=65728 Len=0 TSval=4094247034 TSecr=99852"
"28","0.203087","172.16.2.2","172.16.3.2","SSH","194","Client: Encrypted packet (len=112)"
"29","0.220404","172.16.3.2","172.16.2.2","MPTCP","74","22  >  31340 [ACK] Seq=1757 Ack=1689 Win=65728 Len=0 TSval=99882 TSecr=4094247034"
"30","0.252068","172.16.2.2","172.16.3.2","MPTCP","74","[TCP Dup ACK 27#1] 31340  >  22 [ACK] Seq=1689 Ack=1757 Win=65728 Len=0 TSval=4094247084 TSecr=99882"
"31","0.311394","172.16.2.2","172.16.3.2","MPTCP","74","[TCP Dup ACK 27#2] 31340  >  22 [ACK] Seq=1689 Ack=1757 Win=65728 Len=0 TSval=4094247144 TSecr=99882"
"32","0.312369","172.16.2.2","172.16.3.2","SSH","174","Client: Encrypted packet (len=92)"
"33","0.331092","172.16.3.2","172.16.2.2","SSH","154","Server: Encrypted packet (len=72)"
"34","0.331117","172.16.2.2","172.16.3.2","TCP","66","31340  >  22 [ACK] Seq=1781 Ack=1829 Win=65728 Len=0 TSval=4094247164 TSecr=99992"
"35","0.332130","172.16.2.2","172.16.3.2","MPTCP","74","[TCP Dup ACK 34#1] 31340  >  22 [ACK] Seq=1781 Ack=1829 Win=65728 Len=0 TSval=4094247164 TSecr=99992"
"36","0.332803","172.16.2.2","172.16.3.2","SSH","126","Client: Encrypted packet (len=44)"
"37","0.350325","172.16.3.2","172.16.2.2","MPTCP","74","22  >  31340 [ACK] Seq=1829 Ack=1825 Win=65728 Len=0 TSval=100005 TSecr=4094247164"
"38","0.358851","172.16.3.2","172.16.2.2","SSH","158","Server: Encrypted packet (len=76)"
"39","0.359498","172.16.2.2","172.16.3.2","MPTCP","74","31340  >  22 [ACK] Seq=1825 Ack=1905 Win=65728 Len=0 TSval=4094247185 TSecr=100022"
"40","0.360134","172.16.2.2","172.16.3.2","MPTCP","74","[TCP Dup ACK 39#1] 31340  >  22 [ACK] Seq=1825 Ack=1905 Win=65728 Len=0 TSval=4094247185 TSecr=100022"
"41","0.360730","172.16.2.2","172.16.3.2","SSH","150","Client: Encrypted packet (len=68)"
