"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.16.2.2","172.16.3.2","MPTCP","86","33921  >  22 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 SACK_PERM TSval=1819614038 TSecr=0"
"2","0.019177","172.16.3.2","172.16.2.2","MPTCP","90","22  >  33921 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=64 TSval=4990811 TSecr=1819614038"
"3","0.019370","172.16.2.2","172.16.3.2","MPTCP","90","33921  >  22 [ACK] Seq=1 Ack=1 Win=65728 Len=0 TSval=1819614055 TSecr=4990811"
"4","0.039094","172.16.3.2","172.16.2.2","TCP","66","[TCP Window Update] 22  >  33921 [ACK] Seq=1 Ack=1 Win=65728 Len=0 TSval=4990831 TSecr=1819614055"
"5","0.039109","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 2#1] 22  >  33921 [ACK] Seq=1 Ack=1 Win=65728 Len=0 TSval=4990835 TSecr=1819614055"
"6","0.079126","172.16.3.2","172.16.2.2","MPTCP","74","22  >  33921 [ACK] Seq=1 Ack=1 Win=65728 Len=0 TSval=4990873 TSecr=1819614055"
"7","0.109850","172.16.3.2","172.16.2.2","SSH","150","Server: Encrypted packet (len=68)"
"8","0.111420","172.16.2.2","172.16.3.2","SSH","582","Client: Encrypted packet (len=500)"
"9","0.129105","172.16.3.2","172.16.2.2","TCP","66","22  >  33921 [ACK] Seq=69 Ack=501 Win=65728 Len=0 TSval=4990918 TSecr=1819614148"
"10","0.129123","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 9#1] 22  >  33921 [ACK] Seq=69 Ack=501 Win=65728 Len=0 TSval=4990918 TSecr=1819614148"
"11","0.130771","172.16.2.2","172.16.3.2","MPTCP","74","[TCP Dup ACK 8#1] 33921  >  22 [ACK] Seq=501 Ack=69 Win=65728 Len=0 TSval=1819614163 TSecr=4990918"
"12","0.169451","172.16.3.2","172.16.2.2","SSH","110","Server: Encrypted packet (len=28)"
"13","0.171660","172.16.2.2","172.16.3.2","SSH","194","Client: Encrypted packet (len=112)"
"14","0.188797","172.16.3.2","172.16.2.2","SSH","222","Server: Encrypted packet (len=140)"
"15","0.188839","172.16.2.2","172.16.3.2","TCP","66","33921  >  22 [ACK] Seq=613 Ack=237 Win=65728 Len=0 TSval=1819614227 TSecr=4990981"
"16","0.207775","172.16.3.2","172.16.2.2","SSH","126","Server: Encrypted packet (len=44)"
"17","0.208613","172.16.2.2","172.16.3.2","MPTCP","74","33921  >  22 [ACK] Seq=613 Ack=281 Win=65728 Len=0 TSval=1819614242 TSecr=4991002"
"18","0.209247","172.16.2.2","172.16.3.2","SSH","174","Client: Encrypted packet (len=92)"
"19","0.228694","172.16.3.2","172.16.2.2","MPTCP","74","22  >  33921 [ACK] Seq=281 Ack=705 Win=65728 Len=0 TSval=4991022 TSecr=1819614242"
"20","0.230235","172.16.2.2","172.16.3.2","MPTCP","74","[TCP Dup ACK 17#1] 33921  >  22 [ACK] Seq=705 Ack=281 Win=65728 Len=0 TSval=1819614262 TSecr=4991022"
"21","0.230984","172.16.3.2","172.16.2.2","SSH","126","Server: Encrypted packet (len=44)"
"22","0.252508","172.16.2.2","172.16.3.2","SSH","150","Client: Encrypted packet (len=68)"
"23","0.268618","172.16.3.2","172.16.2.2","SSH","158","Server: Encrypted packet (len=76)"
"24","0.268674","172.16.2.2","172.16.3.2","TCP","66","33921  >  22 [ACK] Seq=773 Ack=401 Win=65728 Len=0 TSval=1819614302 TSecr=4991055"
"25","0.270443","172.16.2.2","172.16.3.2","MPTCP","74","[TCP Dup ACK 24#1] 33921  >  22 [ACK] Seq=773 Ack=401 Win=65728 Len=0 TSval=1819614302 TSecr=4991055"
"26","0.289558","172.16.3.2","172.16.2.2","SSH","126","Server: Encrypted packet (len=44)"
"27","0.308549","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 23#1] 22  >  33921 [ACK] Seq=445 Ack=773 Win=65728 Len=0 TSval=4991103 TSecr=1819614302"
"28","0.312714","172.16.2.2","172.16.3.2","SSH","1514","Client: Encrypted packet (len=1432)"
"29","0.312750","172.16.2.2","172.16.3.2","SSH","1514","Client: Encrypted packet (len=1432)"
"30","0.312778","172.16.2.2","172.16.3.2","SSH","1514","Client: Encrypted packet (len=1432)"
"31","0.312811","172.16.2.2","172.16.3.2","SSH","1514","Client: Encrypted packet (len=1432)"
"32","0.312828","172.16.2.2","172.16.3.2","SSH","1514","Client: Encrypted packet (len=1432)"
"33","0.312888","172.16.2.2","172.16.3.2","SSH","1150","Client: Encrypted packet (len=1068)"
"34","0.327753","172.16.3.2","172.16.2.2","TCP","66","22  >  33921 [ACK] Seq=445 Ack=2205 Win=65728 Len=0 TSval=4991122 TSecr=1819614342"
"35","0.327776","172.16.3.2","172.16.2.2","MPTCP","74","22  >  33921 [ACK] Seq=445 Ack=3637 Win=65728 Len=0 TSval=4991122 TSecr=1819614342"
